word,n_morphemes,note,ratingcmp,zipf_freq,c1,c2
wristbands,2,wrist+bands ratingcmp=91.6,91.571426,1.592864137808441,wrist,bands
headbands,2,head+bands ratingcmp=70.6,70.63636,1.990804146480479,head,bands
sweatbands,2,sweat+bands ratingcmp=78.2,78.242424,1.33,sweat,bands
waistbands,2,waist+bands ratingcmp=82.8,82.833336,1.62,waist,bands
neckbands,2,neck+bands ratingcmp=81.0,81.047623,0.0,neck,bands
trainbandsman,2,train+bandsman ratingcmp=33.6,33.560001,0.0,train,bandsman
sowbane,2,sow+bane ratingcmp=30.7,30.700001,0.0,sow,bane
fleabane,2,flea+bane ratingcmp=38.3,38.272728,1.25,flea,bane
ratsbane,2,rats+bane ratingcmp=42.9,42.878788,0.0,rats,bane
wolfbane,2,wolf+bane ratingcmp=36.8,36.82143,2.437962177822698,wolf,bane
henbane,2,hen+bane ratingcmp=28.3,28.285715,1.63,hen,bane
bugbane,2,bug+bane ratingcmp=32.3,32.258064,0.0,bug,bane
dogbane,2,dog+bane ratingcmp=31.7,31.700001,1.13,dog,bane
wolfsbane,2,wolfs+bane ratingcmp=42.6,42.615383,2.437962177822698,wolfs,bane
whizbang,2,whiz+bang ratingcmp=33.1,33.142857,1.893894133472422,whiz,bang
whizzbang,2,whizz+bang ratingcmp=49.6,49.620689,0.0,whizz,bang
whizzbangs,2,whizz+bangs ratingcmp=32.6,32.583332,0.0,whizz,bangs
fogbank,2,fog+bank ratingcmp=48.2,48.17857,0.0,fog,bank
sandbank,2,sand+bank ratingcmp=56.2,56.227272,1.768955396864122,sand,bank
riverbank,2,river+bank ratingcmp=64.3,64.28125,2.835902186494736,river,bank
snowbank,2,snow+bank ratingcmp=66.0,65.958336,1.893894133472422,snow,bank
sandbanks,2,sand+banks ratingcmp=65.0,64.958336,1.592864137808441,sand,banks
snowbanks,2,snow+banks ratingcmp=59.1,59.107143,1.52,snow,banks
riverbanks,2,river+banks ratingcmp=76.1,76.099998,2.069985392528103,river,banks
busbar,2,bus+bar ratingcmp=40.6,40.576923,1.59,bus,bar
drawbar,2,draw+bar ratingcmp=38.1,38.086956,1.82,draw,bar
tollbar,2,toll+bar ratingcmp=49.2,49.153847,0.0,toll,bar
crossbar,2,cross+bar ratingcmp=66.7,66.692307,2.069985392528103,cross,bar
sandbar,2,sand+bar ratingcmp=54.7,54.729729,1.893894133472422,sand,bar
sidebar,2,side+bar ratingcmp=73.8,73.826088,2.973075379520047,side,bar
handlebar,2,handle+bar ratingcmp=75.8,75.769234,2.333226827302685,handle,bar
crowbar,2,crow+bar ratingcmp=32.7,32.650002,3.117908944845286,crow,bar
birchbark,2,birch+bark ratingcmp=76.9,76.92308,1.26,birch,bark
shellbark,2,shell+bark ratingcmp=41.0,41.0,0.0,shell,bark
shagbark,2,shag+bark ratingcmp=36.5,36.517242,1.3,shag,bark
stringybark,2,stringy+bark ratingcmp=53.1,53.083332,1.17,stringy,bark
lacebark,2,lace+bark ratingcmp=42.9,42.904762,0.0,lace,bark
ropebark,2,rope+bark ratingcmp=40.1,40.096775,0.0,rope,bark
tanbark,2,tan+bark ratingcmp=31.9,31.92,1.592864137808441,tan,bark
crampbark,2,cramp+bark ratingcmp=31.8,31.848484,0.0,cramp,bark
smoothbark,2,smooth+bark ratingcmp=70.8,70.800003,0.0,smooth,bark
cowbarn,2,cow+barn ratingcmp=77.8,77.758621,0.0,cow,barn
handbarrow,2,hand+barrow ratingcmp=60.8,60.774193,0.0,hand,barrow
wheelbarrow,2,wheel+barrow ratingcmp=62.2,62.174999,2.796984120464366,wheel,barrow
